user_name,user_id,knockout_match_id,picked_team_id,picked_team_name,round,bracket_slot,match_date,created_at,updated_at
Shawn,1,101,5,Canada,r32,3,2026-06-28,2026-07-02T06:22:01.049399,2026-07-02T06:22:01.049399
Jennie,2,101,2,South Africa,r32,3,2026-06-28,2026-07-02T06:22:46.449500,2026-07-02T06:22:46.449500
Daphne,3,101,5,Canada,r32,3,2026-06-28,2026-07-02T06:23:17.183232,2026-07-02T06:23:17.183232
Elliot,4,101,5,Canada,r32,3,2026-06-28,2026-07-02T06:23:30.858709,2026-07-02T06:23:30.858709
Wyatt,5,101,5,Canada,r32,3,2026-06-28,2026-07-02T06:23:47.820129,2026-07-02T06:23:47.820129
Grandpa By,6,101,5,Canada,r32,3,2026-06-28,2026-07-02T06:24:26.667910,2026-07-02T06:24:26.667910
Grandma Cathy,7,101,5,Canada,r32,3,2026-06-28,2026-07-02T06:24:50.189046,2026-07-02T06:24:50.189046
Shawn,1,102,17,Germany,r32,1,2026-06-29,2026-07-02T06:22:05.174229,2026-07-02T06:22:05.174229
Jennie,2,102,17,Germany,r32,1,2026-06-29,2026-07-02T06:22:54.226591,2026-07-02T06:22:54.226591
Daphne,3,102,14,Paraguay,r32,1,2026-06-29,2026-07-02T06:23:18.414980,2026-07-02T06:23:18.414980
Elliot,4,102,14,Paraguay,r32,1,2026-06-29,2026-07-02T06:23:35.737896,2026-07-02T06:23:35.737896
Wyatt,5,102,14,Paraguay,r32,1,2026-06-29,2026-07-02T06:25:29.461585,2026-07-02T06:25:29.461585
Grandpa By,6,102,17,Germany,r32,1,2026-06-29,2026-07-02T06:24:29.713283,2026-07-02T06:24:29.713283
Grandma Cathy,7,102,17,Germany,r32,1,2026-06-29,2026-07-02T06:24:58.454068,2026-07-02T06:24:58.454068
Shawn,1,103,10,Morocco,r32,4,2026-06-29,2026-07-02T06:22:04.096541,2026-07-02T06:22:04.096541
Jennie,2,103,21,Netherlands,r32,4,2026-06-29,2026-07-02T06:22:51.178455,2026-07-02T06:22:51.178455
Daphne,3,103,21,Netherlands,r32,4,2026-06-29,2026-07-02T06:23:19.466234,2026-07-02T06:23:19.466234
Elliot,4,103,21,Netherlands,r32,4,2026-06-29,2026-07-02T06:23:34.675692,2026-07-02T06:30:06.872126
Wyatt,5,103,21,Netherlands,r32,4,2026-06-29,2026-07-02T06:23:53.699858,2026-07-02T06:23:53.699858
Grandpa By,6,103,21,Netherlands,r32,4,2026-06-29,2026-07-02T06:24:31.354899,2026-07-02T06:24:31.354899
Grandma Cathy,7,103,21,Netherlands,r32,4,2026-06-29,2026-07-02T06:24:52.706268,2026-07-02T06:24:52.706268
Shawn,1,104,9,Brazil,r32,9,2026-06-29,2026-07-02T06:22:02.019104,2026-07-02T06:22:02.019104
Jennie,2,104,9,Brazil,r32,9,2026-06-29,2026-07-02T06:22:48.710921,2026-07-02T06:22:48.710921
Daphne,3,104,9,Brazil,r32,9,2026-06-29,2026-07-02T06:23:15.899300,2026-07-02T06:23:15.899300
Elliot,4,104,9,Brazil,r32,9,2026-06-29,2026-07-02T06:23:31.583976,2026-07-02T06:23:31.583976
Wyatt,5,104,9,Brazil,r32,9,2026-06-29,2026-07-02T06:23:54.636525,2026-07-02T06:23:54.636525
Grandpa By,6,104,9,Brazil,r32,9,2026-06-29,2026-07-02T06:24:27.386326,2026-07-02T06:24:27.386326
Grandma Cathy,7,104,9,Brazil,r32,9,2026-06-29,2026-07-02T06:24:51.031651,2026-07-02T06:24:51.031651
Shawn,1,105,33,France,r32,2,2026-06-30,2026-07-02T06:22:07.718905,2026-07-02T06:22:07.718905
Jennie,2,105,33,France,r32,2,2026-06-30,2026-07-02T06:22:57.233854,2026-07-02T06:22:57.233854
Daphne,3,105,33,France,r32,2,2026-06-30,2026-07-02T06:23:21.179442,2026-07-02T06:23:21.179442
Elliot,4,105,33,France,r32,2,2026-06-30,2026-07-02T06:23:37.609852,2026-07-02T06:23:37.609852
